FID	Sample name	Superpopulation code
0	HG00271_HG00271	EUR
0	HG00276_HG00276	EUR
0	HG00288_HG00288	EUR
0	HG00290_HG00290	EUR
0	HG00303_HG00303	EUR
0	HG00308_HG00308	EUR
0	HG00310_HG00310	EUR
0	HG00315_HG00315	EUR
0	HG00327_HG00327	EUR
0	HG00334_HG00334	EUR
0	HG00339_HG00339	EUR
0	HG00341_HG00341	EUR
0	HG00346_HG00346	EUR
0	HG00353_HG00353	EUR
0	HG00358_HG00358	EUR
0	HG00360_HG00360	EUR
0	HG00365_HG00365	EUR
0	HG00372_HG00372	EUR
0	HG00132_HG00132	EUR
0	HG00137_HG00137	EUR
0	HG00149_HG00149	EUR
0	HG00151_HG00151	EUR
0	HG00156_HG00156	EUR
0	HG00182_HG00182	EUR
0	HG00187_HG00187	EUR
0	HG00136_HG00136	EUR
0	HG00233_HG00233	EUR
0	HG00143_HG00143	EUR
0	HG00238_HG00238	EUR
0	HG00148_HG00148	EUR
0	HG00150_HG00150	EUR
0	HG00245_HG00245	EUR
0	HG00155_HG00155	EUR
0	HG00252_HG00252	EUR
0	HG00174_HG00174	EUR
0	HG00257_HG00257	EUR
0	HG00179_HG00179	EUR
0	HG00264_HG00264	EUR
0	HG00181_HG00181	EUR
0	HG00269_HG00269	EUR
0	HG00186_HG00186	EUR
0	HG00377_HG00377	EUR
0	HG00232_HG00232	EUR
0	HG00384_HG00384	EUR
0	HG00237_HG00237	EUR
0	HG00404_HG00404	EAS
0	HG00244_HG00244	EUR
0	HG00409_HG00409	EAS
0	HG00249_HG00249	EUR
0	HG00251_HG00251	EUR
0	HG00256_HG00256	EUR
0	HG00428_HG00428	EAS
0	HG00263_HG00263	EUR
0	HG00442_HG00442	EAS
0	HG00268_HG00268	EUR
0	HG00383_HG00383	EUR
0	HG00403_HG00403	EAS
0	HG00473_HG00473	EAS
0	HG00410_HG00410	EAS
0	HG00101_HG00101	EUR
0	HG00422_HG00422	EAS
0	HG00106_HG00106	EUR
0	HG00113_HG00113	EUR
0	HG00446_HG00446	EAS
0	HG00118_HG00118	EUR
0	HG00458_HG00458	EAS
0	HG00125_HG00125	EUR
0	HG00472_HG00472	EAS
0	HG00270_HG00270	EUR
0	HG00275_HG00275	EUR
0	HG00282_HG00282	EUR
0	HG00302_HG00302	EUR
0	HG00319_HG00319	EUR
0	HG00478_HG00478	EAS
0	HG00321_HG00321	EUR
